12,Q220331
16,Q3435337
24,Q2008343
32,Q5739278
33,Q907568
35,Q627333
36,Q213019
42,Q217352
44,Q7765253
45,Q565911
51,Q1352419
54,Q1659447
58,Q2307419
59,Q731224
60,Q1249536
73,Q1219239
74,Q326914
76,Q215410
77,Q1141732
82,Q840974
83,Q1327411
83,Q53592
84,Q150827
86,Q848612
91,Q558971
93,Q4460113
94,Q4718102
95,Q1193766
97,Q728312
98,Q308918
103,Q1219561
105,Q333179
107,Q5642996
108,Q961957
108,Q725752
110,Q649409
119,Q1004825
120,Q185118
121,Q477508
122,Q141568
123,Q2870358
126,Q2660166
132,Q8251
135,Q180736
139,Q785255
140,Q260205
141,Q469690
144,Q599198
145,Q313129
146,Q10483376
148,Q7714957
153,Q1248773
154,Q7760892
155,Q2362563
157,Q1156969
158,Q223880
159,Q718268
160,Q1567505
161,Q274744
164,Q183565
165,Q11772710
166,Q7637251
169,Q2384134
171,Q5086165
172,Q7738999
173,Q5979985
174,Q82464
175,Q272506
201,Q728312
203,Q2222
217,Q80771
220,Q1198668
222,Q1792726
224,Q2931240
234,Q5097717
236,Q189509
238,Q5246853
244,Q223131
245,Q1131648
267,Q7769676
268,Q7754678
269,Q4876883
271,Q880092
283,Q7760006
284,Q6474536
285,Q7748596
290,Q5295849
308,Q955910
310,Q2873306
318,Q3180997
329,Q4710615
344,Q3232887
345,Q41542
351,Q1195793
356,Q4900097
360,Q2713465
367,Q7727811
369,Q17061884
370,Q612523
372,Q2068990
375,Q2943621
376,Q1215399
378,Q559667
381,Q6815614
389,Q1394704
391,Q185427
393,Q3822730
394,Q265100
402,Q7164623
408,Q1253660
416,Q10958564
419,Q7749508
420,Q473588
421,Q2349094
422,Q7761435
432,Q650571
438,Q7883924
440,Q6315940
451,Q1120858
467,Q1157010
470,Q5738287
471,Q2659725
479,Q387480
482,Q2254480
486,Q634885
496,Q7747642
498,Q7301985
512,Q595934
514,Q523076
517,Q1250366
520,Q4180222
524,Q1247736
526,Q129778
541,Q1045464
543,Q6736091
545,Q2870358
550,Q638327
558,Q2609365
559,Q5604315
560,Q16387145
561,Q4154269
580,Q460583
583,Q1212672
599,Q612836
600,Q695116
601,Q2659564
604,Q6544445
605,Q928680
608,Q642635
620,Q1632505
621,Q2605035
623,Q7715895
638,Q1090444
644,Q3795070
645,Q3224800
647,Q3222487
648,Q8000838
650,Q3148901
653,Q3828573
675,Q3614013
676,Q2054880
678,Q825220
687,Q16514368
689,Q1214091
696,Q548576
699,Q2032353
700,Q2700616
706,Q7713285
707,Q7718381
718,Q1535422
720,Q2404359
730,Q164974
754,Q13802568
765,Q7752160
767,Q517172
768,Q202975
769,Q7719311
770,Q7766848
773,Q1810331
775,Q650949
778,Q651866
779,Q16201199
780,Q964055
786,Q1340493
790,Q1469224
792,Q7998930
796,Q1165714
798,Q192649
804,Q768792
805,Q2581681
811,Q16201199
815,Q784882
816,Q784882
821,Q963659
829,Q181488
831,Q1349671
831,Q520372
831,Q1928169
833,Q1265755
834,Q860831
836,Q3795974
837,Q7766831
839,Q3234271
840,Q3400981
849,Q997511
854,Q203585
863,Q472228
864,Q2615930
876,Q6545189
883,Q1557935
897,Q7761552
903,Q2297190
910,Q152267
913,Q1304649
914,Q7771322
917,Q2362527
932,Q1197735
940,Q493574
942,Q605921
946,Q581180
955,Q615227
956,Q7801858
957,Q7762405
958,Q7335058
959,Q7748719
960,Q7769442
961,Q5569658
963,Q565638
965,Q1141764
967,Q847642
968,Q1903609
969,Q44701
972,Q1147121
974,Q1247666
980,Q4725707
1013,Q1218232
1018,Q14914646
1019,Q772985
1023,Q883305
1024,Q2753955
1028,Q762203
